Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cld6190_ann contribution,dtr6190_ann contribution,ecoreg contribution,frs6190_ann contribution,h_dem contribution,pre6190_ann contribution,pre6190_l1 contribution,pre6190_l10 contribution,pre6190_l4 contribution,pre6190_l7 contribution,tmn6190_ann contribution,tmp6190_ann contribution,tmx6190_ann contribution,vap6190_ann contribution,cld6190_ann permutation importance,dtr6190_ann permutation importance,ecoreg permutation importance,frs6190_ann permutation importance,h_dem permutation importance,pre6190_ann permutation importance,pre6190_l1 permutation importance,pre6190_l10 permutation importance,pre6190_l4 permutation importance,pre6190_l7 permutation importance,tmn6190_ann permutation importance,tmp6190_ann permutation importance,tmx6190_ann permutation importance,vap6190_ann permutation importance,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
bradypus_variegatus,57,1.5303,1.9814,760,0.9306,57,0.8409,0.8509,0.0241,10056,0.9495,0.2081,0.1395,0.1629,12.0405,0.0559,1.6940,38.9620,8.3325,28.2919,5.8440,1.0218,2.0100,0.2876,0.9045,9.2081,1.4429,10.4300,14.8935,0.0000,1.3008,2.5354,2.9309,0.6159,25.3555,0.0000,26.1383,4.2442,7.6888,0.1262,1.0000,0.0238,0.6401,0.0000,0.0526,6.722E-7,5.0000,0.0637,0.4329,0.0351,0.0877,1.387E-13,10.0000,0.1240,0.3144,0.0526,0.1404,3.803E-19,3.3896,0.0470,0.4949,0.0000,0.0877,1.467E-10,14.8943,0.1848,0.2509,0.0877,0.1404,1.468E-26,25.3445,0.2698,0.1627,0.1579,0.3158,7.176E-27,35.5512,0.3467,0.1026,0.1930,0.4386,1.786E-30,19.7202,0.2281,0.2054,0.1228,0.2105,4.98E-28,16.9019,0.2040,0.2307,0.1053,0.1404,9.103E-30,3.3896,0.0470,0.4949,0.0000,0.0877,1.467E-10,18.3798,0.2154,0.2171,0.1228,0.1754,4.746E-29
bradypus_variegatus_0,41,1.2460,1.6940,820,0.9242,40,0.9964,0.8416,0.0219,10040,1.8902,0.3475,0.2194,0.0000,12.5365,1.9571,0.0000,30.4956,1.7680,33.0581,11.9703,0.2379,1.8769,3.6426,2.2372,7.1474,0.0656,0.0000,15.7709,0.0000,0.0000,16.6836,2.7097,5.9951,36.6678,0.0764,12.6464,0.0000,7.9698,0.1717,1.0000,0.0278,0.6501,0.0000,0.0000,1.743E-6,5.0000,0.0882,0.4301,0.0244,0.0500,1.549E-11,10.0000,0.1745,0.3243,0.0976,0.1750,6.676E-12,4.3066,0.0759,0.4535,0.0000,0.0250,1.731E-11,23.8549,0.3667,0.1924,0.0976,0.3750,1.961E-12,32.1888,0.4392,0.1463,0.1463,0.4500,2.523E-13,33.8470,0.4526,0.1382,0.1463,0.4500,2.265E-14,15.1693,0.2518,0.2615,0.0976,0.2500,1.022E-12,9.4576,0.1654,0.3327,0.0976,0.1000,1.315E-14,4.3066,0.0759,0.4535,0.0000,0.0250,1.731E-11,12.7306,0.2173,0.2880,0.0976,0.2000,4.341E-13
bradypus_variegatus_1,40,1.3046,1.6794,660,0.9133,39,1.0922,0.8640,0.0239,10038,0.0862,0.0343,1.0479,3.3767,1.6916,3.5981,0.9753,29.9663,3.2639,43.6334,10.7292,0.0120,1.1951,0.3900,0.2210,1.7986,9.1680,6.2968,4.2156,0.0195,1.0661,11.0924,4.9393,24.2581,19.9523,0.0270,9.7613,7.1840,7.9094,0.1631,1.0000,0.0281,0.5243,0.0000,0.0256,9.126E-9,5.0000,0.1336,0.3705,0.0000,0.1282,4.511E-11,10.0000,0.2212,0.3022,0.0750,0.1282,4.699E-15,7.3560,0.1829,0.3339,0.0000,0.1282,5.309E-13,16.3103,0.2955,0.2458,0.1000,0.2564,2.581E-13,24.5869,0.3652,0.1895,0.2000,0.3077,5.603E-16,15.6106,0.2902,0.2511,0.0750,0.2308,4.307E-14,15.7366,0.2905,0.2502,0.1000,0.2564,5.69E-13,10.5518,0.2303,0.2964,0.0750,0.1282,1.785E-15,3.8092,0.1028,0.3964,0.0000,0.1026,7.931E-11,13.2094,0.2669,0.2712,0.0750,0.2051,9.426E-14
bradypus_variegatus_2,40,1.3401,1.7811,620,0.9193,40,0.9287,0.8500,0.0291,10039,0.5268,1.4034,0.5082,0.0464,10.9804,5.3366,1.3905,36.5134,4.9959,28.7701,6.9450,0.0000,1.6087,0.9746,0.3213,10.0482,0.1141,2.3700,14.7881,0.0007,1.1107,11.8878,2.2392,10.3762,31.6756,0.0000,15.0682,0.0000,7.8724,0.1553,1.0000,0.0284,0.6637,0.0000,0.0500,6.341E-5,5.0000,0.0760,0.4523,0.0000,0.0500,1.276E-10,10.0000,0.1569,0.3383,0.0500,0.1750,3.852E-11,7.6059,0.1135,0.3819,0.0000,0.1250,6.871E-11,15.6000,0.2075,0.2660,0.1000,0.1750,6.118E-16,26.1990,0.3344,0.1764,0.1750,0.3000,1.851E-18,22.7803,0.2983,0.1999,0.1250,0.2250,4.766E-20,22.5417,0.2954,0.2016,0.1250,0.2000,1.995E-21,22.5417,0.2954,0.2016,0.1250,0.2000,1.995E-21,6.7048,0.0992,0.4030,0.0000,0.1000,7.376E-11,16.0287,0.2107,0.2613,0.1250,0.1750,2.425E-16
bradypus_variegatus_3,41,1.2726,1.7420,1000,0.9230,40,0.9009,0.8416,0.0279,10041,1.4608,2.2514,0.0000,1.9441,3.9311,7.3685,1.5029,24.1327,0.5735,45.5446,4.4717,0.0000,4.5569,2.2617,0.5073,2.7052,0.0000,4.6686,9.9421,0.1991,0.0000,30.3549,1.2817,4.6581,23.6589,0.0000,21.9070,0.1170,7.9432,0.1637,1.0000,0.0260,0.6243,0.0000,0.0250,2.332E-6,5.0000,0.0876,0.4165,0.0488,0.0750,3.427E-11,10.0000,0.1687,0.3120,0.0976,0.1750,1.258E-12,1.3005,0.0311,0.5951,0.0000,0.0250,4.911E-7,13.8210,0.2224,0.2622,0.0976,0.2250,8.327E-14,33.9169,0.4554,0.1220,0.1220,0.4250,1.031E-18,36.0868,0.4813,0.1123,0.1220,0.4750,6.995E-17,17.5710,0.2706,0.2250,0.1220,0.2250,4.017E-17,18.6586,0.2850,0.2155,0.1220,0.2250,3.793E-18,1.3005,0.0311,0.5951,0.0000,0.0250,4.911E-7,12.2907,0.1999,0.2805,0.0976,0.1750,8.823E-15
bradypus_variegatus_4,40,1.1604,1.5180,1000,0.9110,40,0.3865,0.7811,0.0311,10040,1.6941,4.4180,3.5809,1.2298,8.1881,5.7130,0.2535,0.8438,24.2360,38.6493,4.7088,0.6690,5.7323,0.0835,0.0728,11.6048,5.0005,10.6998,16.2165,0.0000,0.0861,0.4436,1.4907,5.1775,25.1358,1.4315,22.6213,0.0190,8.0538,0.1874,1.0000,0.0348,0.6762,0.0000,0.0500,1.075E-4,5.0000,0.0910,0.4780,0.0000,0.1000,4.565E-8,10.0000,0.1579,0.3551,0.0750,0.1750,2.638E-10,7.3294,0.1203,0.4113,0.0000,0.1250,1.257E-9,17.3574,0.2613,0.2547,0.1000,0.3500,4.772E-9,29.8339,0.4334,0.1618,0.1500,0.5000,3.13E-9,29.8339,0.4334,0.1618,0.1500,0.5000,3.13E-9,14.1036,0.2143,0.2923,0.0750,0.3000,7.193E-9,7.1890,0.1181,0.4146,0.0000,0.1000,2.32E-10,7.1890,0.1181,0.4146,0.0000,0.1000,2.32E-10,12.5852,0.1938,0.3132,0.0750,0.2250,1.523E-10
bradypus_variegatus_5,40,1.3959,1.8365,820,0.9280,40,0.9536,0.8289,0.0309,10038,2.9617,1.6934,0.0091,0.0824,10.2135,0.0000,1.7364,28.9738,3.9850,29.5240,17.5577,0.1041,2.9642,0.1947,0.0472,9.3986,0.0244,0.1494,4.4696,0.0000,2.5854,9.0672,2.8529,1.9161,55.1100,0.0548,14.3245,0.0000,7.8183,0.1462,1.0000,0.0262,0.6178,0.0000,0.0500,7.652E-6,5.0000,0.0765,0.3981,0.0250,0.1750,1.735E-8,10.0000,0.1585,0.2964,0.0500,0.2500,1.665E-10,1.6728,0.0325,0.5623,0.0000,0.0500,3.847E-7,21.0122,0.3013,0.1874,0.1000,0.3500,3.245E-14,27.1881,0.3704,0.1500,0.1500,0.3500,4.188E-19,18.1454,0.2683,0.2085,0.0500,0.3000,9.911E-15,12.2556,0.1850,0.2667,0.0500,0.2750,2.789E-11,29.8445,0.3985,0.1364,0.1750,0.3500,1.465E-21,1.6728,0.0325,0.5623,0.0000,0.0500,3.847E-7,13.9286,0.2056,0.2476,0.0500,0.2750,1.313E-12
bradypus_variegatus_6,41,1.0851,1.5200,900,0.9026,40,1.3150,0.8661,0.0265,10041,1.7435,1.5053,0.4051,0.8535,6.6867,0.0575,1.5903,41.6276,0.5926,26.3211,13.1654,0.1365,5.1846,0.1305,2.7725,9.8554,0.0499,10.6753,15.9058,0.7554,1.8131,14.9240,1.4340,0.0000,21.8878,0.0000,19.8487,0.0780,8.1278,0.1984,1.0000,0.0407,0.7104,0.0000,0.0000,2.693E-5,5.0000,0.1022,0.5281,0.0000,0.0500,4.529E-8,10.0000,0.1538,0.4046,0.0000,0.0750,1.006E-11,12.8095,0.1793,0.3525,0.0000,0.1750,1.977E-10,16.9111,0.2343,0.2921,0.0976,0.2250,9.318E-12,24.5057,0.3484,0.2173,0.2195,0.2750,3.468E-15,12.8095,0.1793,0.3525,0.0000,0.1750,1.977E-10,20.7523,0.2945,0.2500,0.1707,0.2500,1.401E-13,41.5799,0.5242,0.1160,0.3415,0.3250,1.239E-28,7.1379,0.1259,0.4686,0.0000,0.0500,5.25E-10,13.7251,0.1905,0.3373,0.0488,0.1750,3.429E-11
bradypus_variegatus_7,40,1.2929,1.7388,880,0.9123,39,1.1378,0.8618,0.0249,10040,1.4771,1.0407,1.6241,2.6624,3.2532,0.0000,1.6320,34.4326,3.3330,29.5412,11.8321,3.1207,5.7910,0.2599,0.2976,7.1912,4.8173,8.9073,12.4618,0.0000,1.2497,1.0174,0.0000,0.4030,37.6766,0.8574,25.1207,0.0000,7.9222,0.1624,1.0000,0.0315,0.6480,0.0000,0.0256,9.889E-6,5.0000,0.0836,0.4513,0.0000,0.0256,2.614E-11,10.0000,0.1506,0.3384,0.1000,0.1026,8.065E-14,7.3800,0.1165,0.3884,0.0000,0.1026,3.477E-11,13.2134,0.1958,0.2918,0.1000,0.1026,4.425E-17,27.4359,0.3630,0.1695,0.1750,0.3590,2.119E-15,27.4196,0.3630,0.1695,0.1500,0.3590,2.119E-15,20.5271,0.2848,0.2183,0.1500,0.2308,4.11E-17,13.5063,0.1992,0.2882,0.1250,0.1026,2.248E-17,6.4371,0.1040,0.4108,0.0000,0.1026,3.25E-10,14.6601,0.2143,0.2746,0.1500,0.1282,3.239E-17
bradypus_variegatus_8,40,1.0872,1.5756,800,0.9056,40,1.2589,0.8638,0.0259,10039,3.2289,0.4613,1.6854,4.5871,8.1074,0.1314,0.9228,35.4578,2.7470,29.4447,4.7891,0.0247,4.9116,3.5007,1.5918,5.3629,6.2859,12.0155,12.4206,0.3137,1.5235,3.3654,3.9597,0.1290,8.0539,0.0307,25.5561,19.3914,8.1265,0.2005,1.0000,0.0434,0.6707,0.0000,0.0250,2.108E-5,5.0000,0.1100,0.5023,0.0250,0.0250,1.124E-9,10.0000,0.1863,0.3942,0.0500,0.1000,2.94E-11,4.2834,0.1010,0.5240,0.0000,0.0250,5.587E-9,20.7289,0.3019,0.2669,0.1000,0.1250,1.725E-18,28.7666,0.3692,0.2000,0.2000,0.2000,1.198E-21,19.3509,0.2931,0.2799,0.0750,0.1250,2.574E-17,28.7666,0.3692,0.2000,0.2000,0.2000,1.198E-21,23.6577,0.3241,0.2405,0.1250,0.1250,2.985E-21,4.2834,0.1010,0.5240,0.0000,0.0250,5.587E-9,14.0699,0.2405,0.3369,0.0750,0.1250,2.997E-13
bradypus_variegatus_9,41,1.1598,1.6635,800,0.9161,40,1.1600,0.8679,0.0231,10041,1.4944,1.7443,1.1718,1.2900,9.3521,0.3468,3.1245,25.4290,0.5950,37.0551,4.3318,2.6915,6.2871,5.0867,0.0800,11.2852,0.1568,5.9182,16.3936,0.3524,1.7011,10.7143,0.5071,0.8180,26.8361,0.8590,23.9143,0.4639,8.0545,0.1840,1.0000,0.0354,0.6864,0.0000,0.0000,9.554E-6,5.0000,0.0902,0.4902,0.0244,0.0500,2.99E-9,10.0000,0.1596,0.3675,0.0244,0.0500,1.074E-14,3.2287,0.0700,0.5568,0.0000,0.0250,5.072E-8,19.1275,0.2808,0.2496,0.0976,0.1750,2.062E-17,28.8409,0.3796,0.1739,0.1707,0.3000,8.231E-19,39.2525,0.4735,0.1150,0.1951,0.4500,3.281E-18,21.8996,0.3121,0.2250,0.1463,0.2250,4.017E-17,16.4442,0.2429,0.2774,0.0976,0.1000,7.095E-19,3.2287,0.0700,0.5568,0.0000,0.0250,5.072E-8,13.5110,0.2080,0.3134,0.0976,0.1000,6.349E-16
microryzomys_minutus,44,3.1149,3.5715,860,0.9900,44,3.2385,0.9859,0.0022,10044,1.3413,1.1659,0.2478,0.3272,68.7878,0.0000,1.0328,14.9216,0.0812,4.9202,5.5136,0.0000,1.5945,0.0660,1.8980,6.8898,0.7022,1.1637,32.8679,0.0000,1.5409,3.2804,1.1015,20.4085,7.6682,0.0000,19.9852,2.4939,6.1013,0.0245,1.0000,0.0019,0.3174,0.0000,0.0000,1.151E-22,5.0000,0.0316,0.0684,0.0000,0.0227,0E0,10.0000,0.1395,0.0367,0.0455,0.0227,0E0,6.0448,0.0473,0.0568,0.0000,0.0227,0E0,26.2715,0.5364,0.0187,0.0909,0.2500,0E0,7.6439,0.0825,0.0455,0.0455,0.0227,0E0,6.0448,0.0473,0.0568,0.0000,0.0227,0E0,10.7381,0.1618,0.0347,0.0455,0.0455,0E0,10.7234,0.1615,0.0347,0.0455,0.0227,0E0,3.8063,0.0176,0.0912,0.0000,0.0000,0E0,7.8700,0.0913,0.0444,0.0455,0.0227,0E0
microryzomys_minutus_0,31,3.3482,3.8477,660,0.9930,30,3.1301,0.9848,0.0027,10031,3.1053,0.4377,0.2328,7.6371,65.1933,0.0336,0.4555,5.9325,3.1812,4.9061,8.7122,0.0000,0.1727,0.0000,0.6132,1.6978,0.0000,2.4410,56.9305,1.8859,0.2276,0.0000,0.8640,4.1272,18.3621,0.0000,12.8507,0.0000,5.8654,0.0196,1.0000,0.0031,0.1631,0.0000,0.0000,1.192E-35,5.0000,0.0442,0.0475,0.0000,0.0333,0E0,10.0000,0.1724,0.0295,0.0000,0.1333,0E0,15.3340,0.2896,0.0224,0.0000,0.3000,0E0,23.1034,0.4708,0.0166,0.0968,0.3667,0E0,15.4313,0.2904,0.0224,0.0323,0.3000,0E0,15.3340,0.2896,0.0224,0.0000,0.3000,0E0,6.4355,0.0779,0.0393,0.0000,0.0333,0E0,3.5451,0.0247,0.0625,0.0000,0.0000,0E0,2.6351,0.0140,0.0796,0.0000,0.0000,0E0,7.6101,0.1100,0.0351,0.0000,0.1000,0E0
microryzomys_minutus_1,31,3.1685,3.6568,540,0.9908,30,3.3967,0.9886,0.0018,10030,0.0249,0.1258,2.2699,0.0324,65.3389,0.0000,0.0279,16.3203,0.2831,7.1435,3.4727,0.1291,4.8315,0.0000,0.2311,1.7259,3.4595,0.1072,43.5028,0.0000,0.0000,3.9813,1.7635,6.9820,17.4246,0.0000,20.8221,0.0000,6.0458,0.0231,1.0000,0.0019,0.2917,0.0000,0.0000,7.042E-18,5.0000,0.0354,0.0650,0.0000,0.0000,0E0,10.0000,0.1302,0.0352,0.0323,0.0333,0E0,8.7618,0.1033,0.0395,0.0000,0.0000,0E0,23.7400,0.5246,0.0188,0.0968,0.1333,0E0,11.1083,0.1666,0.0323,0.0323,0.0667,0E0,8.7618,0.1033,0.0395,0.0000,0.0000,0E0,10.7068,0.1483,0.0333,0.0323,0.0333,0E0,9.6469,0.1172,0.0364,0.0323,0.0000,0E0,3.4218,0.0166,0.0912,0.0000,0.0000,0E0,8.1601,0.0904,0.0421,0.0000,0.0000,0E0
microryzomys_minutus_2,31,3.2210,3.6888,920,0.9913,30,2.9483,0.9836,0.0028,10030,8.2359,0.3279,0.1299,7.8314,56.2639,0.1414,2.6292,9.1485,0.5677,9.8409,3.1823,0.0399,1.6388,0.0223,0.2301,1.1383,0.0859,1.2359,0.5717,0.8694,8.5415,0.0000,0.7552,12.3507,0.0000,17.3548,56.8665,0.0000,5.9913,0.0215,1.0000,0.0020,0.3573,0.0000,0.0000,1.025E-13,5.0000,0.0198,0.0726,0.0000,0.0000,0E0,10.0000,0.1423,0.0324,0.0000,0.1333,0E0,15.2896,0.2937,0.0235,0.0000,0.2333,0E0,17.4307,0.3499,0.0213,0.0968,0.3000,0E0,15.3591,0.2959,0.0235,0.0323,0.2333,0E0,15.2896,0.2937,0.0235,0.0000,0.2333,0E0,6.6560,0.0390,0.0490,0.0000,0.0333,0E0,6.2390,0.0339,0.0534,0.0000,0.0000,0E0,4.5839,0.0158,0.0819,0.0000,0.0000,0E0,7.9427,0.0760,0.0398,0.0000,0.1000,0E0
microryzomys_minutus_3,31,3.2516,3.6543,760,0.9910,30,2.8980,0.9791,0.0067,10030,9.9437,0.1664,1.1722,1.9649,52.9026,0.0053,4.4231,0.0000,10.3351,2.6020,0.0622,0.0101,10.7710,5.6413,0.4844,0.8723,0.8333,0.8311,0.9292,0.0000,19.9005,0.0000,0.1215,1.9771,0.0000,0.4420,67.1603,6.4484,5.9598,0.0209,1.0000,0.0022,0.3169,0.0000,0.0000,4.467E-16,5.0000,0.0212,0.0740,0.0000,0.0333,0E0,10.0000,0.1133,0.0323,0.0000,0.1333,0E0,11.3638,0.1691,0.0288,0.0000,0.1333,0E0,17.1950,0.3716,0.0212,0.0968,0.2667,0E0,11.3638,0.1691,0.0288,0.0323,0.1333,0E0,11.3638,0.1691,0.0288,0.0000,0.1333,0E0,7.5526,0.0532,0.0446,0.0000,0.0333,0E0,7.5526,0.0532,0.0446,0.0000,0.0333,0E0,4.2919,0.0153,0.0891,0.0000,0.0333,3.83E-64,8.5119,0.0669,0.0386,0.0000,0.0667,0E0
microryzomys_minutus_4,31,3.0435,3.5734,620,0.9890,30,3.4435,0.9896,0.0017,10031,6.4156,0.7267,1.0817,0.2432,68.4529,0.0073,1.9038,3.6360,3.3804,5.9879,7.1148,0.0000,0.3037,0.7460,2.1928,1.3231,0.8190,0.4123,62.4601,0.0000,2.5160,0.0904,1.2765,2.6351,0.3041,0.0000,14.1263,11.8445,6.1691,0.0263,1.0000,0.0026,0.2481,0.0000,0.0000,7.541E-22,5.0000,0.0400,0.0717,0.0323,0.0000,0E0,10.0000,0.1406,0.0407,0.0323,0.0000,0E0,3.3931,0.0223,0.0970,0.0000,0.0000,5.387E-63,25.1207,0.5485,0.0205,0.0968,0.1667,0E0,13.4939,0.2285,0.0323,0.0323,0.0333,0E0,18.5403,0.3944,0.0254,0.0323,0.1000,0E0,13.3317,0.2256,0.0326,0.0323,0.0333,0E0,13.3059,0.2225,0.0326,0.0323,0.0000,0E0,3.1533,0.0188,0.1025,0.0000,0.0000,2.176E-59,8.2274,0.0987,0.0476,0.0323,0.0000,0E0
microryzomys_minutus_5,31,3.0402,3.5377,840,0.9881,30,3.3328,0.9878,0.0021,10031,4.0409,0.3050,0.9555,0.5456,72.1026,0.1881,0.7115,6.8938,7.9766,2.4640,2.8070,0.0000,0.1263,0.8831,1.1662,0.5955,1.1043,0.1224,80.8576,0.0000,0.8637,1.6256,0.5033,0.9366,4.3940,0.0000,3.8219,4.0089,6.1737,0.0261,1.0000,0.0022,0.3186,0.0000,0.0000,5.741E-16,5.0000,0.0308,0.0809,0.0323,0.0000,0E0,10.0000,0.1192,0.0434,0.0323,0.0333,0E0,3.3722,0.0160,0.1148,0.0000,0.0000,1.612E-52,28.0240,0.5626,0.0186,0.0968,0.2667,0E0,14.3229,0.2359,0.0323,0.0323,0.0333,0E0,21.3940,0.4240,0.0233,0.0323,0.1667,0E0,13.7859,0.2175,0.0333,0.0323,0.0333,0E0,9.6249,0.1144,0.0448,0.0323,0.0000,0E0,3.3722,0.0160,0.1148,0.0000,0.0000,1.612E-52,8.9434,0.0984,0.0478,0.0323,0.0000,0E0
microryzomys_minutus_6,31,3.1006,3.7426,940,0.9914,30,3.0195,0.9829,0.0030,10031,5.7393,0.4371,2.6517,1.1899,68.2310,0.0000,1.3298,0.3380,10.6606,2.6089,0.0591,0.0000,1.9989,4.7556,2.7615,1.1260,4.4028,3.4258,41.2997,0.0000,3.1451,0.0000,0.4139,1.5776,0.1274,0.0000,17.6691,24.0511,6.1159,0.0246,1.0000,0.0022,0.3485,0.0000,0.0000,3.482E-14,5.0000,0.0281,0.0792,0.0323,0.0000,0E0,10.0000,0.1162,0.0406,0.0323,0.0667,0E0,4.8639,0.0262,0.0814,0.0000,0.0000,0E0,27.9616,0.5552,0.0176,0.0968,0.3333,0E0,12.9872,0.2004,0.0323,0.0323,0.1000,0E0,16.1084,0.2888,0.0273,0.0323,0.1333,0E0,9.0514,0.0982,0.0444,0.0323,0.0333,0E0,9.0514,0.0982,0.0444,0.0323,0.0333,0E0,4.0200,0.0178,0.0990,0.0000,0.0000,1.227E-61,8.8991,0.0954,0.0451,0.0323,0.0333,0E0
microryzomys_minutus_7,31,2.7728,3.3491,760,0.9882,30,3.4136,0.9888,0.0018,10030,10.2808,1.4797,0.3096,1.9453,60.3560,0.1652,0.5600,6.3707,0.1814,9.0379,4.0774,0.0000,5.1788,0.0573,0.6304,5.9502,0.1732,0.1090,0.5414,0.7614,0.3935,0.0000,0.4758,2.0332,16.4519,0.0000,72.4801,0.0000,6.4399,0.0334,1.0000,0.0032,0.4394,0.0000,0.0000,3.068E-10,5.0000,0.0234,0.1339,0.0000,0.0000,2.076E-44,10.0000,0.0757,0.0645,0.0000,0.0000,0E0,13.2543,0.1380,0.0449,0.0000,0.0000,0E0,22.2934,0.4609,0.0270,0.0968,0.0333,0E0,18.1135,0.3253,0.0323,0.0323,0.0333,0E0,13.2543,0.1380,0.0449,0.0000,0.0000,0E0,17.5088,0.2990,0.0333,0.0323,0.0333,0E0,14.8908,0.1916,0.0393,0.0323,0.0000,0E0,5.1341,0.0246,0.1305,0.0000,0.0000,1.115E-45,10.2721,0.0784,0.0624,0.0000,0.0000,0E0
microryzomys_minutus_8,31,3.1131,3.5895,740,0.9896,30,3.0671,0.9815,0.0047,10030,5.1777,0.5847,0.2394,0.9223,69.2150,0.0014,0.4171,8.9087,0.0793,11.1971,0.0427,0.0417,1.4823,1.6906,0.8932,2.3480,0.1504,0.1682,44.6845,0.0000,1.5766,0.0000,0.2538,4.3983,0.0000,5.2041,37.0694,3.2537,6.1011,0.0243,1.0000,0.0020,0.3226,0.0000,0.0000,1.041E-15,5.0000,0.0289,0.0721,0.0000,0.0667,0E0,10.0000,0.1366,0.0353,0.0323,0.1000,0E0,5.2215,0.0309,0.0689,0.0000,0.0667,0E0,24.0249,0.5736,0.0188,0.0968,0.2667,0E0,11.1493,0.1680,0.0323,0.0323,0.1333,0E0,16.5248,0.3663,0.0242,0.0323,0.1667,0E0,5.3826,0.0333,0.0667,0.0323,0.0667,0E0,9.1711,0.1075,0.0382,0.0323,0.0667,0E0,3.8520,0.0176,0.0945,0.0000,0.0667,7.005E-56,7.8966,0.0731,0.0445,0.0323,0.0667,0E0
microryzomys_minutus_9,31,3.1986,3.7817,660,0.9921,30,2.9107,0.9821,0.0028,10031,5.2777,0.8055,1.8481,2.8922,69.3893,0.0000,0.3559,0.1141,11.7181,0.9360,0.0000,0.0000,1.9496,4.7134,6.4005,0.8520,3.7368,4.9465,67.4363,0.0000,1.7564,1.6372,2.5387,1.4424,0.0000,0.0000,1.8408,7.4125,6.0145,0.0221,1.0000,0.0016,0.4113,0.0000,0.0000,2.829E-11,5.0000,0.0222,0.0699,0.0000,0.0000,0E0,10.0000,0.1278,0.0343,0.0323,0.1000,0E0,6.3023,0.0447,0.0534,0.0000,0.0333,0E0,26.2295,0.5382,0.0168,0.0968,0.5333,0E0,10.7427,0.1550,0.0323,0.0323,0.1000,0E0,6.3023,0.0447,0.0534,0.0000,0.0333,0E0,6.8334,0.0535,0.0490,0.0323,0.0333,0E0,5.7577,0.0347,0.0588,0.0000,0.0000,0E0,4.3042,0.0162,0.0847,0.0000,0.0000,0E0,8.2830,0.0863,0.0408,0.0323,0.1000,0E0
